"PLT_CN","LON_PUBLIC","LAT_PUBLIC","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_ID","COUNTYFIPS"
"40416318010690",-105.946737,41.012042,56,2,1,88687,"PID560200188687","56001"
"40416319010690",-105.890383,41.013768,56,2,1,84587,"PID560200184587","56001"
"40416320010690",-105.831,41.014035,56,2,1,86008,"PID560200186008","56001"
"40416321010690",-105.775163,41.009122,56,2,1,89624,"PID560200189624","56001"
"40416322010690",-105.476481,41.232409,56,2,1,85284,"PID560200185284","56001"
"40416323010690",-105.47619,41.012976,56,2,1,80654,"PID560200180654","56001"
"40416324010690",-105.420627,41.010814,56,2,1,89921,"PID560200189921","56001"
"40416325010690",-105.356919,41.012519,56,2,1,82461,"PID560200182461","56001"
"40416326010690",-105.294892,41.012538,56,2,1,87640,"PID560200187640","56001"
"40416327010690",-106.066622,42.340082,56,2,1,80794,"PID560200180794","56001"
"40416328010690",-105.99778,42.330678,56,2,1,85425,"PID560200185425","56001"
"40416329010690",-105.944346,42.252844,56,2,1,86534,"PID560200186534","56001"
"40416330010690",-105.339443,42.260439,56,2,1,88136,"PID560200188136","56001"
"40416331010690",-105.886567,42.245146,56,2,1,89074,"PID560200189074","56001"
"40416332010690",-105.812889,42.24157,56,2,1,89632,"PID560200189632","56001"
"40416333010690",-105.826421,42.163379,56,2,1,80768,"PID560200180768","56001"
"40416334010690",-105.764075,42.155407,56,2,1,84339,"PID560200184339","56001"
"40416335010690",-105.705866,42.149783,56,2,1,82255,"PID560200182255","56001"
"40416336010690",-105.639031,42.061036,56,2,1,88242,"PID560200188242","56001"
"40416337010690",-105.581956,42.066202,56,2,1,86029,"PID560200186029","56001"
"40416338010690",-105.536868,41.980751,56,2,1,89386,"PID560200189386","56001"
"40416339010690",-105.493063,41.940084,56,2,1,88430,"PID560200188430","56001"
"40416340010690",-106.042962,41.845705,56,2,1,85023,"PID560200185023","56001"
"40416341010690",-105.984671,41.847613,56,2,1,90448,"PID560200190448","56001"
"40416342010690",-105.38886,41.851948,56,2,1,87000,"PID560200187000","56001"
"40416343010690",-105.936557,41.757274,56,2,1,81098,"PID560200181098","56001"
"40416344010690",-105.865992,41.760762,56,2,1,82924,"PID560200182924","56001"
"40416345010690",-105.387068,41.759504,56,2,1,88614,"PID560200188614","56001"
"40416346010690",-105.81063,41.670714,56,2,1,87518,"PID560200187518","56001"
"40416347010690",-105.758111,41.654815,56,2,1,82080,"PID560200182080","56001"
"40416348010690",-105.683928,41.659724,56,2,1,81356,"PID560200181356","56001"
"40416349010690",-105.63628,41.570858,56,2,1,87630,"PID560200187630","56001"
"40416350010690",-105.57978,41.573275,56,2,1,89050,"PID560200189050","56001"
"40416351010690",-105.520449,41.480184,56,2,1,80941,"PID560200180941","56001"
"40416352010690",-105.457612,41.483032,56,2,1,82349,"PID560200182349","56001"
"40416353010690",-105.408134,41.389699,56,2,1,88331,"PID560200188331","56001"
"40416354010690",-106.033836,41.35344,56,2,1,81886,"PID560200181886","56001"
"40416355010690",-105.376067,41.359424,56,2,1,82351,"PID560200182351","56001"
"40416356010690",-105.282796,41.301461,56,2,1,80469,"PID560200180469","56001"
"40416357010690",-105.920556,41.258396,56,2,1,90270,"PID560200190270","56001"
"40416358010690",-105.809326,41.167895,56,2,1,82090,"PID560200182090","56001"
"40416359010690",-105.735098,41.162804,56,2,1,83703,"PID560200183703","56001"
"40416360010690",-106.224219,41.077353,56,2,1,89302,"PID560200189302","56001"
"40416361010690",-105.634138,41.081239,56,2,1,84381,"PID560200184381","56001"
"40416362010690",-108.594686,44.994714,56,2,3,83533,"PID560200383533","56003"
"40416363010690",-108.526433,44.993006,56,2,3,81909,"PID560200381909","56003"
"40416364010690",-108.333768,44.988497,56,2,3,86932,"PID560200386932","56003"
"40416365010690",-108.273239,44.986035,56,2,3,87428,"PID560200387428","56003"
"40416366010690",-108.222851,44.988035,56,2,3,80639,"PID560200380639","56003"
"40416367010690",-107.979319,44.980937,56,2,3,80154,"PID560200380154","56003"
"40416368010690",-107.911123,44.985942,56,2,3,84347,"PID560200384347","56003"
"40416369010690",-108.591962,44.949479,56,2,3,82732,"PID560200382732","56003"
"40416370010690",-108.539993,44.946786,56,2,3,89972,"PID560200389972","56003"
"40416371010690",-108.327838,44.937389,56,2,3,88455,"PID560200388455","56003"
"40416372010690",-108.276943,44.947553,56,2,3,83073,"PID560200383073","56003"
"40416373010690",-108.224167,44.945649,56,2,3,87901,"PID560200387901","56003"
